Burden_m,Spacing_m,Number_of_Holes,Hole_Depth_m,Total_Explosives_kg,Charge_Factor_kg_per_m,Powder_Factor_kg_per_m3,PPV_mm_per_s,Time_to_Peak_ms,Distance_from_Dam_m,Blast_Easting,Blast_Northing,Blast_Lon,Blast_Lat
2.061810178271044,3.3963234280394903,56,3.3034363594491767,293.80019809399005,4.931505809532811,0.4972057315229445,6.1796357442476,158.86501536059876,316.74692339158315,731671.2389049339,1271234.283418726,77.12382968006658,11.49197781135849
2.9260714596148745,3.072192732688241,21,5.272775763290724,76.30695121675801,4.527556162635188,0.7130671314395687,19.090875411521743,142.94398915890048,116.76215178028257,729454.6985122304,1271924.751266811,77.10356561045869,11.498365264473502
2.5979909127171075,2.619055232572656,25,5.785762912039466,70.9120165306002,6.906019982378783,1.1274486641154051,21.502341326557016,127.21936520305536,127.4387146036819,732231.1453918013,1272084.5918485203,77.12901784155783,11.499624977391864
2.397987726295555,3.6275900394138976,33,2.6647339811170867,460.4139916150112,0.8712264012024996,0.4584859241975352,14.5484592013904,174.05848876487804,445.44616240681154,731164.6086964358,1270159.2516131024,77.1191148118688,11.482296017478452
1.7340279606636548,3.3694623451077588,28,5.181541833417649,412.4695438120244,6.749878036047594,0.4925613348194132,24.57926887798625,52.38179169312381,301.2585417788512,727174.4987213409,1270236.0125474827,77.08255906220235,11.483253093134477
1.733991780504304,2.3252338786897826,17,6.306199897421308,491.1718069701731,6.82943459458793,0.3117266109813754,12.361007143823691,175.89068012520326,441.47202480396,733005.2627098112,1271525.6262787194,77.13607317968516,11.494521455669725
1.5871254182522991,3.821854368987685,40,2.9968798669122374,107.95214367404328,2.6368101614822064,0.3127710444561905,13.807468835173058,160.00353670056995,217.19593009394347,731586.4586955043,1269286.6618041217,77.12292113543357,11.474381904880184
2.799264218662403,3.645074485846338,30,6.084885210740153,69.5639768695516,3.97138966261888,1.0464524642626611,24.75200834102825,152.15055701366026,326.48000334409573,731751.3350957929,1271698.6475295513,77.12459505921842,11.49616913010759
2.4016725176148133,3.899599826583848,26,4.879106549507744,329.71860919616813,3.789038664030766,0.95891034615866,7.325614027196122,116.63857883423556,285.64853722457485,727398.9874488305,1270115.4737546463,77.08460804762382,11.482149005821908
2.5621088666940683,3.45143901677672,32,4.966418327449896,263.17737731552324,2.138823757655977,0.6195369508067624,23.67855661256882,56.786390584414015,193.60557041920816,729530.8206814948,1268370.6610310257,77.1040249651846,11.466239858238634
1.5308767414437037,3.22683039187158,46,4.951776699462424,304.07081516902565,3.4759763531473733,0.9284800415048152,2.985263767739605,90.47410403846033,261.4619174151179,729004.3461550866,1268168.6477717336,77.09918774099616,11.464448849759577
2.9548647782429915,2.8364860725812377,63,3.695343545349256,595.3736248786507,0.8329082912814083,0.6556853336789732,12.26689847605348,160.7784243623723,276.1208945721194,732682.0709618233,1271719.9147463946,77.13312497077753,11.496299012867746
2.7486639612006325,3.8654569667080265,25,6.240807261197839,583.9124767188686,2.583665545863008,1.1576071163980446,3.610080779060513,16.037912027891643,140.34693864050536,730810.6866325242,1268092.5831269787,77.1157327573882,11.463642011053636
1.818508666017414,3.732127779000817,15,6.289401850524155,568.273464320256,6.625116315880385,1.1703474132834313,18.77239908701379,158.58964616011409,191.7546675695292,731994.0880083562,1269130.580606366,77.12664546056872,11.472944138750139
1.7727374508106508,2.090437340212379,17,5.001218640855791,481.1134722222206,2.634217263221732,0.6535143982284091,15.993405525240409,55.61344069263763,406.134387728139,729484.702585728,1269377.4314227107,77.103669799992,11.475341678160394
1.7751067647801508,2.052733948994504,34,5.633690903766459,245.1627481412897,6.636550015611856,1.0687997157067812,18.25258805975472,37.41874813710457,462.1047077543572,728054.7005080386,1268634.204768835,77.09051773555778,11.46871879703966
1.9563633644393064,2.752926733756099,27,4.949031943524632,276.67201164452433,4.486995984533231,0.9957801375277197,10.61304919926439,31.98325045425741,211.9073420953848,730220.0966936185,1269284.0911956758,77.11040165206236,11.474449464586284
2.2871346474483567,3.621106661563666,34,4.437593790296162,352.28882404540843,7.0989700802087,0.5789999434546104,10.498084482721747,15.177502270654871,188.1375269940582,726973.6665320327,1271261.8974755397,77.08078685641046,11.492537878034137
