Burden_m,Spacing_m,Number_of_Holes,Hole_Depth_m,Total_Explosives_kg,Charge_Factor_kg_per_m,Powder_Factor_kg_per_m3,PPV_mm_per_s,Time_to_Peak_ms,Distance_from_Dam_m,Slope_deg,BVII,BVII_Level,Delta_t,SDI,Dam_State,RDI,RDI_Level,Dam_State_M4,Failure_Flag_M4
2.061810178271044,3.3963234280394903,56,3.3034363594491767,293.80019809399005,4.931505809532811,0.4972057315229445,6.1796357442476,158.86501536059876,316.74692339158315,10.0,0.2771364604247579,Low,1.0,0.2771364604247579,Safe,0.2091293130452736,Low,Intact,0
2.9260714596148745,3.072192732688241,21,5.272775763290724,76.30695121675801,4.527556162635188,0.7130671314395687,19.090875411521743,142.94398915890048,116.76215178028257,10.0,0.7507910739593345,High,1.0,1.0279275343840926,Safe,0.6599243773690573,Moderate,Damaged,0
2.5979909127171075,2.619055232572656,25,5.785762912039466,70.9120165306002,6.906019982378783,1.1274486641154051,21.502341326557016,127.21936520305536,127.4387146036819,10.0,0.8452296769271712,High,1.0,1.873157211311264,Safe,0.7172962488010828,High,Damaged,0
2.397987726295555,3.6275900394138976,33,2.6647339811170867,460.4139916150112,0.8712264012024996,0.4584859241975352,14.5484592013904,174.05848876487804,445.44616240681154,10.0,0.3891055164197046,Moderate,1.0,2.2622627277309686,Safe,0.3570485313081233,Moderate,Failed,1
1.7340279606636548,3.3694623451077588,28,5.181541833417649,412.4695438120244,6.749878036047594,0.4925613348194132,24.57926887798625,52.38179169312381,301.2585417788512,10.0,0.83360946084552,High,1.0,3.0958721885764886,Safe,0.7010285328091461,High,Failed,1
1.733991780504304,2.3252338786897826,17,6.306199897421308,491.1718069701731,6.82943459458793,0.3117266109813754,12.361007143823691,175.89068012520326,441.47202480396,10.0,0.4087192675760233,Moderate,1.0,3.504591456152512,Safe,0.3018167919001673,Low,Failed,1
1.5871254182522991,3.821854368987685,40,2.9968798669122374,107.95214367404328,2.6368101614822064,0.3127710444561905,13.807468835173058,160.00353670056995,217.19593009394347,10.0,0.5191001013691875,Moderate,1.0,4.023691557521699,Safe,0.4650673841512895,Moderate,Failed,1
2.799264218662403,3.645074485846338,30,6.084885210740153,69.5639768695516,3.97138966261888,1.0464524642626611,24.75200834102825,152.15055701366026,326.48000334409573,10.0,0.787302638426272,High,1.0,4.810994195947972,Safe,0.6914789070216825,High,Failed,1
2.4016725176148133,3.899599826583848,26,4.879106549507744,329.71860919616813,3.789038664030766,0.95891034615866,7.325614027196122,116.63857883423556,285.64853722457485,10.0,0.3118420540185873,Low,1.0,5.122836249966559,Safe,0.2565961276032247,Low,Failed,1
2.5621088666940683,3.45143901677672,32,4.966418327449896,263.17737731552324,2.138823757655977,0.6195369508067624,23.67855661256882,56.786390584414015,193.60557041920816,10.0,0.8064790988929611,High,1.0,5.92931534885952,Safe,0.7374975502078773,High,Failed,1
1.5308767414437037,3.22683039187158,46,4.951776699462424,304.07081516902565,3.4759763531473733,0.9284800415048152,2.985263767739605,90.47410403846033,261.4619174151179,10.0,0.1976716320971983,Low,1.0,6.126986980956718,Safe,0.1561094662799857,Low,Failed,1
2.9548647782429915,2.8364860725812377,63,3.695343545349256,595.3736248786507,0.8329082912814083,0.6556853336789732,12.26689847605348,160.7784243623723,276.1208945721194,10.0,0.4182468051233871,Moderate,1.0,6.5452337860801055,Safe,0.391695536584308,Moderate,Failed,1
2.7486639612006325,3.8654569667080265,25,6.240807261197839,583.9124767188686,2.583665545863008,1.1576071163980446,3.610080779060513,16.037912027891643,140.34693864050536,10.0,0.2711674349866811,Low,1.0,6.816401221066787,Safe,0.2401637316620091,Low,Failed,1
1.818508666017414,3.732127779000817,15,6.289401850524155,568.273464320256,6.625116315880385,1.1703474132834313,18.77239908701379,158.58964616011409,191.7546675695292,10.0,0.7278798877961061,High,1.0,7.544281108862894,Safe,0.6096757587178683,Moderate,Failed,1
1.7727374508106508,2.090437340212379,17,5.001218640855791,481.1134722222206,2.634217263221732,0.6535143982284091,15.993405525240409,55.61344069263763,406.134387728139,10.0,0.4757370807539842,Moderate,1.0,8.020018189616877,Safe,0.4169547234103042,Moderate,Failed,1
